Energy[keV],Fluence_rate [cm^-2s^-1]
20,3.8922
20.2,4.3452
20.4,4.1904
20.6,3.2713
20.8,2.8503
21,2.8914
21.2,3.8112
21.4,4.3635
21.6,4.9262
21.8,4.276
22,4.5897
22.2,5.3023
22.4,3.1134
22.6,4.1206
22.8,5.7301
23,5.696
23.2,4.6087
23.4,5.954
23.6,6.2282
23.8,6.0163
24,4.8558
24.2,6.8508
24.4,6.8314
24.6,6.8382
24.8,8.4605
25,6.787
25.2,6.4415
25.4,7.3753
25.6,11.28
25.8,9.4469
26,12.098
26.2,9.4263
26.4,9.38
26.6,11.577
26.8,13.261
27,17.097
27.2,14.934
27.4,16.47
27.6,19.274
27.8,17.753
28,18.379
28.2,21.666
28.4,24.254
28.6,27.097
28.8,30.966
29,30.782
29.2,34.581
29.4,39.608
29.6,40.295
29.8,46.72
30,53.638
30.2,54.853
30.4,63.384
30.6,71.198
30.8,80.752
31,80.541
31.2,86.942
31.4,96.862
31.6,104.13
31.8,123.35
32,133.13
32.2,143.47
32.4,153.98
32.6,177.7
32.8,187.77
33,197.34
33.2,208.63
33.4,227.15
33.6,238.35
33.8,254.19
34,277.07
34.2,295.64
34.4,307.83
34.6,334.34
34.8,366.38
35,386.37
35.2,407.84
35.4,424.94
35.6,442.85
35.8,480.65
36,505.93
36.2,530.02
36.4,559.28
36.6,580.85
36.8,620.8
37,634.72
37.2,686.4
37.4,708.46
37.6,737.35
37.8,758.94
38,803.99
38.2,844.33
38.4,878.98
38.6,903.78
38.8,929.42
39,971.07
39.2,997.4
39.4,1031.9
39.6,1081.3
39.8,1107.7
40,1127.1
40.2,1188.7
40.4,1224
40.6,1242.4
40.8,1283
41,1320.1
41.2,1353.2
41.4,1389.1
41.6,1436.2
41.8,1453.8
42,1483.4
42.2,1535.6
42.4,1563.5
42.6,1608.8
42.8,1614.3
43,1654.5
43.2,1672.3
43.4,1716.2
43.6,1742.4
43.8,1795.7
44,1840.8
44.2,1841
44.4,1867
44.6,1906.7
44.8,1953.7
45,1950.9
45.2,1966.7
45.4,1988.5
45.6,2022.4
45.8,2046.3
46,2056.2
46.2,2105.3
46.4,2117.2
46.6,2127.7
46.8,2152.6
47,2166
47.2,2190.6
47.4,2201.7
47.6,2207.1
47.8,2226.3
48,2240
48.2,2244.7
48.4,2266.1
48.6,2265.4
48.8,2295.9
49,2304.8
49.2,2272.1
49.4,2295.1
49.6,2281
49.8,2326.2
50,2279.2
50.2,2259.4
50.4,2284.6
50.6,2285.9
50.8,2294.3
51,2279.5
51.2,2272.7
51.4,2271.9
51.6,2269.9
51.8,2237.2
52,2242.2
52.2,2186.1
52.4,2204.7
52.6,2179
52.8,2158.5
53,2130.8
53.2,2134.2
53.4,2099.1
53.6,2078.9
53.8,2025.2
54,1998
54.2,2004.9
54.4,1963.3
54.6,1937
54.8,1885.6
55,1859.6
55.2,1808.7
55.4,1768.9
55.6,1755.9
55.8,1718.4
56,1673.8
56.2,1621.8
56.4,1553.4
56.6,1491.7
56.8,1462.8
57,1415.5
57.2,1358.1
57.4,1292.6
57.6,1246.8
57.8,1168.9
58,1092.7
58.2,1059.6
58.4,1003.7
58.6,929.07
58.8,851.24
59,754.1
59.2,662.65
59.4,590.44
59.6,509.89
59.8,383.2
60,279.85
60.2,169.3
60.4,68.181
60.6,22.034
60.8,11.543
61,12.494
61.2,11.052
61.4,10.279
61.6,11.203
61.8,11.276
62,10.388
62.2,11.911
62.4,11.829
62.6,13.596
62.8,12.215
63,13.457
63.2,10.73
63.4,11.34
63.6,13.245
63.8,14.334
64,12.135
64.2,13.939
64.4,11.786
64.6,11.9
64.8,12.474
65,12.137
65.2,12.906
65.4,11.116
65.6,12.399
65.8,14.058
66,14.012
66.2,15.439
66.4,11.576
66.6,12.815
66.8,11.561
67,12.323
67.2,14.616
67.4,12.229
67.6,12.152
67.8,14.113
68,12.291
68.2,13.829
68.4,14.344
68.6,12.502
68.8,13.278
69,12.354
69.2,14.721
69.4,12.889
69.6,11.833
69.8,11.313
70,11.653
70.2,11.886
70.4,12.333
70.6,13.096
70.8,11.281
71,14.153
71.2,11.052
71.4,14.279
71.6,14.058
71.8,11.574
72,12.856
72.2,13.607
72.4,11.923
72.6,13.329
72.8,14.147
73,12.833
73.2,13.946
73.4,12.996
73.6,14.975
73.8,15.87
74,11.522
74.2,10.92
74.4,12.944
74.6,13.284
74.8,14.935
75,14.129
75.2,15.54
75.4,14.004
75.6,12.461
75.8,13.257
76,12.416
76.2,14.422
76.4,11.951
76.6,15.022
76.8,13.493
77,14.248
77.2,13.346
77.4,13.389
77.6,13.921
77.8,14.765
78,14.4
78.2,13.904
78.4,14.258
78.6,14.2
78.8,14.399
79,14.206
79.2,14.345
79.4,15.694
79.6,12.571
79.8,13.994
80,15.923
80.2,13.434
80.4,12.294
80.6,13.999
80.8,14.492
81,15.516
81.2,15.102
81.4,13.568
81.6,17.613
81.8,15.239
82,14.098
82.2,15.213
82.4,15.369
82.6,13.464
82.8,16.503
83,15.261
83.2,16.371
83.4,13.815
83.6,14.736
83.8,15.19
84,14.502
84.2,16.899
84.4,16.875
84.6,17.911
84.8,17.289
